stop_id,stop_name,stop_desc,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding
nuzzling.coupler.grudging,Wampeewo Field (Lay Ground),,0.42835,32.59948,,,
cabs.envisage.beakers,Wampeewo Ntakke Secondary School,,0.42421,32.5984,,,
icon.mooring.coconuts,Kasangaati Medical Centre,,0.43507,32.6014,,,
internet.proceeds.fattening,Acodev,,0.43331,32.60078,,,
molars.regular.firming,Kalema Rd - Kamanya Rd Jct,,0.31029,32.54967,,,
tilt.talker.polices,Kasangati Stage,,0.438108333333333,32.60264,,,
emails.sandpaper.spacing,Shell Mengo,,0.30916,32.55633,,,
lighters.afternoon.monopoly,Lubiri Secondary School,,0.30594,32.55013,,,
lamps.before.emeralds,Snack Zone Restaurant (Kasangati),,0.43093,32.60015,,,
nerves.purifier.camcorder,Kobil Mengo,,0.30864,32.55544,,,
language.invisible.closet,Backpackers Hostel,,0.30649,32.55126,,,
defenders.kipper.hairstyle,Serena Gardens,,0.30612,32.55316,,,
decanter.decoding.river,Sombe Metal Crafts,,0.44119,32.60613,,,
aviation.newspaper.developed,Str. Stephenss Church,,0.30851,32.55113,,,
watching.expectant.scramble,Golden Secondary School,,0.31323,32.54741,,,
airbase.blocks.graceful,Etana Motel,,0.31228,32.54826,,,
sparrows.winds.introduce,Lyna Daycare And Nursery School,,0.3076,32.55359,,,
ethic.warthog.revisit,Satellite Hotel - Mojesu Supermarket,,0.37245,32.60159,,,
yelled.villas.wolves,Kampala Academy Primary School,,0.37398,32.60106,,,
spurted.lurching.rotation,Alice Kaggwa Rd Jct - Horse Power Fuel Station,,0.35518,32.57277,,,
bronzed.proven.commended,Mambule,,0.35926,32.57409,,,
engage.trash.feasted,Bukoto Rd - Kisota Rd Jct,,0.35945,32.59863,,,
alleyway.universe.margin,Dawn Children Centre,,0.35809,32.59861,,,
rezoning.playback.beaks,Oakwood Pharmacy,,0.37551,32.60023,,,
powder.bleaker.duet,Ndundu Complex,,0.37803,32.59931,,,
absorbs.crew.cork,Teletubbies Infant School,,0.36923,32.60062,,,
lunging.diver.spud,Star Service,,0.36921,32.59894,,,
pounces.slowly.balancing,Kensington Boulevard,,0.39124,32.59281,,,
latitudes.scowls.blossom,Kyanja Seventhday Adventist Church,,0.40145,32.58995,,,
retailing.theme.table,Delta Fuel Station (Kyebando),,0.35625,32.57309,,,
mailbox.gradually.perfected,Jaguar Pub (Kyebando),,0.35563,32.57292,,,
solved.tweed.caressed,Kisaasi College School,,0.3633,32.59871,,,
smallest.describes.differ,Kisaasi Ssebagaka (Kikulu Rd Jct),,0.3614,32.59869,,,
engulfing.tightest.solids,Kyebando Central,,0.3564,32.58272,,,
effort.vesting.bronzer,Kyebando Boda Boda,,0.36108,32.57451,,,
harsh.revisit.trembles,Mbogo Rd,,0.39232,32.62799,,,
cackling.marching.sometimes,Kiwatule,,0.36999,32.62454,,,
engrossed.lighten.nearly,Erisa House,,0.36026,32.57575,,,
insulated.undertone.revolting,Erisa Road,,0.36081,32.57817,,,
tentacles.decompose.exporters,Roselyn Care Clinic (Erisa Road),,0.36079,32.58025,,,
those.alarm.putts,Rest Valley Club (Kyebando),,0.35732,32.57344,,,
fancied.barbarian.slogans,Najeera,,0.39104,32.62574,,,
moderated.hello.outline,Najeera Busibante,,0.37893,32.62568,,,
scraper.inflamed.kebab,Genesis Pharmacy - Katamba,,0.36679,32.60437,,,
punctured.denim.overpower,Gaz Petrol Station (Kisaasi Rd),,0.36852,32.60344,,,
