stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
stop_0026,,"PWD","",8.47716,-13.20709,,,0,hub_0007,,
stop_0027,,"Ferry Junction","",8.47827,-13.2065,,,0,,,
stop_0028,,"Casino","",8.4741,-13.28311,,,0,,,
stop_0029,,"Baracks Road","",8.49043,-13.2621,,,0,,,
stop_0030,,"Aberdeen Bridge","",8.49309,-13.27557,,,0,,,
stop_0031,,"Hammond School","",8.47327,-13.19433,,,0,,,
stop_0032,,"SLPMB","",8.44391,-13.16152,,,0,hub_0016,,
stop_0033,,"The Light","",8.47601,-13.24946,,,0,,,
stop_0034,,"Jui Road","",8.39332,-13.14415,,,0,hub_0004,,
stop_0035,,"Murray Town Junction","",8.48536,-13.26171,,,0,,,
stop_0036,,"Total, Arch Street & Kissy Bypass Road","",8.47619,-13.19809,,,0,,,
stop_0037,,"Eastern Police","",8.48784,-13.22595,,,0,hub_0010,,
stop_0038,,"Sweds Free Avenue Sussex","",8.35139,-13.22983,,,0,,,
stop_0039,,"Texaco Road","",8.47219,-13.18473,,,0,,,
stop_0040,,"Patton Street","",8.48637,-13.22158,,,0,,,
stop_0041,,"Calaba Town","",8.43156,-13.15551,,,0,,,
stop_0042,,"Olio  Junction","",8.38692,-13.13882,,,0,,,
stop_0043,,"Benz Garage","",8.48099,-13.21212,,,0,,,
stop_0044,,"Kargbo Drive,Sussex","",8.35287,-13.23026,,,0,,,
stop_0045,,"Chambers Of Chief Justice","",8.48827,-13.23443,,,0,,,
stop_0046,,"Lowcost  Junction","",8.46882,-13.18712,,,0,,,
stop_0047,,"Mambo Filling Station NP","",8.38105,-13.24329,,,0,,,
stop_0048,,"Parsonage","",8.47408,-13.18925,,,0,,,
stop_0049,,"Malta Street","",8.48791,-13.21775,,,0,,,
stop_0050,,"Mosque Baw Baw","",8.34432,-13.21795,,,0,,,
stop_0051,,"White House","",8.3885,-13.15456,,,0,,,
stop_0052,,"Bombay Street","",8.48699,-13.22323,,,0,,,
stop_0053,,"Caulker Street","",8.45005,-13.16653,,,0,,,
stop_0054,,"Allen Town Junction","",8.42918,-13.15494,,,0,,,
stop_0055,,"Clarence Street","",8.47712,-13.2358,,,0,,,
stop_0056,,"New York Drive","",8.4504,-13.2562,,,0,,,
stop_0057,,"UP Church","",8.45205,-13.21432,,,0,,,
stop_0058,,"Oga Drive","",8.49218,-13.28121,,,0,,,
stop_0059,,"Regent Road","",8.48651,-13.23029,,,0,,,
stop_0060,,"Police Post","",8.45656,-13.24965,,,0,,,
stop_0061,,"FBC","",8.47755,-13.22067,,,0,,,
stop_0062,,"Timbo Lane Adonkia","",8.41278,-13.26442,,,0,,,
stop_0063,,"Albert Academy","",8.47692,-13.22893,,,0,,,
stop_0064,,"Mamboreh","",8.42573,-13.15521,,,0,,,
stop_0065,,"Oba Sie","",8.46943,-13.18846,,,0,,,
stop_0066,,"Total","",8.47618,-13.19815,,,0,,,
stop_0067,,"Police Station","",8.46715,-13.18479,,,0,,,
stop_0068,,"Tennis Court","",8.45787,-13.25269,,,0,,,
stop_0069,,"Sarolla","",8.4743,-13.19572,,,0,,,
stop_0070,,"Gluocester","",8.4593,-13.21771,,,0,,,
stop_0071,,"Shell Filling Station","",8.4742,-13.19118,,,0,,,
stop_0072,,"Red Pump","",8.46908,-13.25007,,,0,,,
stop_0073,,"Wesleyan","",8.46951,-13.1796,,,0,,,
stop_0074,,"Shell Filling Station","",8.47438,-13.19114,,,0,,,
stop_0075,,"Ojuku","",8.42355,-13.15545,,,0,,,
stop_0076,,"Regent Road","",8.48569,-13.23083,,,0,,,
stop_0077,,"Check Point","",8.37798,-13.1016,,,0,,,
stop_0078,,"Grass Field Lane & Bai Bureh Road","",8.46787,-13.17813,,,0,,,
stop_0079,,"Hastin Junction","",8.38646,-13.13537,,,0,,,
stop_0080,,"Forest","",8.45226,-13.24041,,,0,,,
stop_0081,,"Bassa Town Market","",8.32648,-13.06288,,,0,,,
