trip_id,start_time,end_time,headway_secs,exact_times
trip_0088,16:00:00,20:00:00,1200,0
trip_0088,20:00:00,21:00:00,600,0
trip_0089,16:00:00,20:00:00,300,0
trip_0090,05:00:00,07:00:00,300,0
trip_0090,10:00:00,16:00:00,300,0
trip_0090,20:00:00,22:00:00,300,0
trip_0091,07:00:00,10:00:00,1200,0
trip_0092,05:00:00,07:00:00,300,0
trip_0092,07:00:00,10:00:00,900,0
trip_0092,10:00:00,16:00:00,300,0
trip_0092,16:00:00,20:00:00,420,0
trip_0092,20:00:00,23:00:00,300,0
trip_0093,07:00:00,10:00:00,300,0
trip_0094,05:30:00,07:00:00,300,0
trip_0094,10:00:00,16:00:00,300,0
trip_0094,20:00:00,21:30:00,300,0
trip_0095,16:00:00,20:00:00,300,0
trip_0096,06:00:00,23:00:00,300,0
trip_0097,16:00:00,20:00:00,900,0
trip_0098,06:00:00,07:00:00,600,0
trip_0098,10:00:00,16:00:00,600,0
trip_0098,20:00:00,22:00:00,600,0
trip_0099,16:00:00,20:00:00,420,0
trip_0100,06:00:00,07:00:00,180,0
trip_0100,07:00:00,10:00:00,1500,0
trip_0100,10:00:00,16:00:00,180,0
trip_0100,16:00:00,20:00:00,600,0
trip_0100,20:00:00,21:00:00,180,0
trip_0101,07:00:00,10:00:00,300,0
trip_0102,06:30:00,07:00:00,1200,0
trip_0102,10:00:00,16:00:00,1200,0
trip_0102,20:00:00,20:30:00,1200,0
trip_0103,16:00:00,20:00:00,600,0
trip_0104,06:00:00,07:00:00,1200,0
trip_0104,07:00:00,10:00:00,600,0
trip_0104,10:00:00,16:00:00,1200,0
trip_0104,16:00:00,20:00:00,900,0
trip_0104,20:00:00,21:00:00,1200,0
trip_0105,07:00:00,10:00:00,1500,0
trip_0106,05:00:00,07:00:00,1800,0
trip_0106,10:00:00,16:00:00,1800,0
trip_0106,20:00:00,23:30:00,1800,0
trip_0107,16:00:00,20:00:00,300,0
trip_0108,08:00:00,10:00:00,1200,0
trip_0108,10:00:00,12:00:00,2700,0
trip_0109,07:00:00,10:00:00,2100,0
trip_0110,05:30:00,07:00:00,2400,0
trip_0110,10:00:00,16:00:00,2400,0
trip_0110,20:00:00,22:30:00,2400,0
trip_0111,16:00:00,20:00:00,900,0
trip_0112,06:00:00,07:00:00,900,0
trip_0112,07:00:00,10:00:00,600,0
trip_0112,10:00:00,16:00:00,900,0
trip_0112,16:00:00,20:00:00,720,0
trip_0112,20:00:00,22:00:00,900,0
trip_0113,07:00:00,10:00:00,1800,0
trip_0114,05:00:00,07:00:00,5400,0
trip_0114,10:00:00,16:00:00,5400,0
trip_0114,20:00:00,23:00:00,5400,0
trip_0115,16:00:00,20:00:00,3600,0
trip_0116,05:00:00,07:00:00,900,0
trip_0116,07:00:00,10:00:00,600,0
trip_0116,10:00:00,16:00:00,900,0
trip_0116,16:00:00,20:00:00,1800,0
trip_0116,20:00:00,23:00:00,900,0
trip_0117,07:00:00,10:00:00,300,0
trip_0118,06:30:00,07:00:00,1500,0
trip_0118,10:00:00,16:00:00,1500,0
trip_0118,20:00:00,20:30:00,1500,0
trip_0119,16:00:00,20:00:00,600,0
trip_0120,07:00:00,10:00:00,600,0
trip_0120,10:00:00,16:00:00,1500,0
trip_0120,16:00:00,20:00:00,600,0
trip_0120,20:00:00,21:00:00,1500,0
trip_0121,07:00:00,10:00:00,300,0
trip_0122,05:30:00,07:00:00,300,0
trip_0122,10:00:00,16:00:00,300,0
trip_0122,20:00:00,20:30:00,300,0
trip_0123,16:00:00,20:00:00,900,0
trip_0124,05:30:00,16:00:00,600,0
trip_0124,16:00:00,20:00:00,1200,0
trip_0124,20:00:00,20:30:00,600,0
trip_0125,06:00:00,07:00:00,300,0
trip_0125,10:00:00,16:00:00,300,0
trip_0125,20:00:00,21:00:00,300,0
trip_0126,07:00:00,19:00:00,600,0
trip_0127,16:00:00,20:00:00,300,0
trip_0128,16:00:00,20:00:00,600,0
trip_0129,07:00:00,10:00:00,900,0
trip_0130,06:00:00,07:00:00,300,0
trip_0130,10:00:00,16:00:00,300,0
trip_0130,20:00:00,21:00:00,300,0
trip_0131,16:00:00,20:00:00,720,0
trip_0132,06:00:00,07:00:00,300,0
trip_0132,07:00:00,10:00:00,900,0
trip_0132,10:00:00,16:00:00,300,0
trip_0132,16:00:00,20:00:00,1200,0
trip_0132,20:00:00,21:00:00,300,0
trip_0133,07:00:00,10:00:00,300,0
trip_0134,05:30:00,07:00:00,300,0
trip_0134,10:00:00,16:00:00,300,0
trip_0134,20:00:00,21:00:00,300,0
trip_0135,16:00:00,20:00:00,600,0
trip_0136,06:00:00,16:00:00,600,0
trip_0136,16:00:00,20:00:00,1200,0
trip_0136,20:00:00,21:00:00,600,0
trip_0137,05:00:00,07:00:00,600,0
