trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
trip_0068,route_0037,service_0001,Barracks Old Road,"Weekend trip",,,shape_0037,
trip_0069,route_0018,service_0002,Regent,"Evening peak trip",,,shape_0018,
trip_0070,route_0018,service_0002,Regent,"Off peak trip",,,shape_0018,
trip_0071,route_0018,service_0002,Regent,"Morning peak trip",,,shape_0018,
trip_0072,route_0018,service_0001,Regent,"Weekend trip",,,shape_0018,
trip_0073,route_0019,service_0002,Eastern Police,"Morning peak trip",,,shape_0019,
trip_0074,route_0019,service_0002,Eastern Police,"Off peak trip",,,shape_0019,
trip_0075,route_0019,service_0002,Eastern Police,"Evening peak trip",,,shape_0019,
trip_0076,route_0019,service_0001,Eastern Police,"Weekend trip",,,shape_0019,
trip_0077,route_0050,service_0001,Charlotte Street,"Weekend trip",,,shape_0050,
trip_0078,route_0020,service_0002,Eastern Police,"Off peak trip",,,shape_0020,
trip_0079,route_0020,service_0002,Eastern Police,"Evening peak trip",,,shape_0020,
trip_0080,route_0020,service_0001,Eastern Police,"Weekend trip",,,shape_0020,
trip_0081,route_0021,service_0002,SLPMB,"Morning peak trip",,,shape_0021,
trip_0082,route_0021,service_0002,SLPMB,"Off peak trip",,,shape_0021,
trip_0083,route_0021,service_0002,SLPMB,"Evening peak trip",,,shape_0021,
trip_0084,route_0021,service_0001,SLPMB,"Weekend trip",,,shape_0021,
trip_0085,route_0022,service_0002,Bus Station,"Evening peak trip",,,shape_0022,
trip_0086,route_0022,service_0002,Bus Station,"Off peak trip",,,shape_0022,
trip_0087,route_0022,service_0002,Bus Station,"Morning peak trip",,,shape_0022,
trip_0088,route_0022,service_0001,Bus Station,"Weekend trip",,,shape_0022,
trip_0089,route_0023,service_0002,Bombay,"Evening peak trip",,,shape_0023,
trip_0090,route_0023,service_0002,Bombay,"Off peak trip",,,shape_0023,
trip_0091,route_0023,service_0002,Bombay,"Morning peak trip",,,shape_0023,
trip_0092,route_0023,service_0001,Bombay,"Weekend trip",,,shape_0023,
trip_0093,route_0024,service_0002,Lumley Filling Station,"Morning peak trip",,,shape_0024,
trip_0094,route_0024,service_0002,Lumley Filling Station,"Off peak trip",,,shape_0024,
trip_0095,route_0024,service_0002,Lumley Filling Station,"Evening peak trip",,,shape_0024,
trip_0096,route_0024,service_0001,Lumley Filling Station,"Weekend trip",,,shape_0024,
trip_0097,route_0025,service_0002,Aberdeen,"Evening peak trip",,,shape_0025,
trip_0098,route_0025,service_0002,Aberdeen,"Off peak trip",,,shape_0025,
trip_0099,route_0092,service_0002,Braima Lane,"Weekdays",,,route_0109_2,
trip_0100,route_0025,service_0001,Aberdeen,"Weekend trip",,,shape_0025,
trip_0101,route_0026,service_0002,Baw Baw,"Morning peak trip",,,shape_0026,
trip_0102,route_0026,service_0002,Baw Baw,"Off peak trip",,,shape_0026,
trip_0103,route_0026,service_0002,Baw Baw,"Evening peak trip",,,shape_0026,
trip_0104,route_0026,service_0001,Baw Baw,"Weekend trip",,,shape_0026,
trip_0105,route_0027,service_0002,"Tombo Park, Waterloo ( Origin)","Morning peak trip",,,shape_0027,
trip_0106,route_0027,service_0002,"Tombo Park, Waterloo ( Origin)","Off peak trip",,,shape_0027,
trip_0107,route_0027,service_0002,"Tombo Park, Waterloo ( Origin)","Evening peak trip",,,shape_0027,
trip_0108,route_0027,service_0001,"Tombo Park, Waterloo ( Origin)","Weekend trip",,,shape_0027,
trip_0109,route_0028,service_0002,Regent Road,"Morning peak trip",,,shape_0028,
trip_0110,route_0028,service_0002,Regent Road,"Off peak trip",,,shape_0028,
trip_0111,route_0028,service_0002,Regent Road,"Evening peak trip",,,shape_0028,
trip_0112,route_0028,service_0001,Regent Road,"Weekend trip",,,shape_0028,
trip_0113,route_0029,service_0002,Calaba Town,"Morning peak trip",,,shape_0029,
trip_0114,route_0029,service_0002,Calaba Town,"Off peak trip",,,shape_0029,
trip_0115,route_0029,service_0002,Calaba Town,"Evening peak trip",,,shape_0029,
trip_0116,route_0029,service_0001,Calaba Town,"Weekend trip",,,shape_0029,
trip_0117,route_0030,service_0002,Lumley,"Morning peak trip",,,shape_0030,
trip_0118,route_0030,service_0002,Lumley,"Off peak trip",,,shape_0030,
trip_0119,route_0030,service_0002,Lumley,"Evening peak trip",,,shape_0030,
trip_0120,route_0030,service_0001,Lumley,"Weekend trip",,,shape_0030,
trip_0121,route_0031,service_0002,Jui,"Morning peak trip",,,shape_0031,
trip_0122,route_0031,service_0002,Jui,"Off peak trip",,,shape_0031,
trip_0123,route_0031,service_0002,Jui,"Evening peak trip",,,shape_0031,
trip_0124,route_0031,service_0001,Jui,"Weekend trip",,,shape_0031,
trip_0125,route_0063,service_0002,Eastern Police,"Weekdays",,,route_0032_1,
trip_0126,route_0063,service_0001,Eastern Police,"Weekends",,,route_0032_1,
trip_0127,route_0080,service_0002,Eastern Police,"Evening peak trip",,,shape_0032,
trip_0128,route_0083,service_0002,Regent Street,"Weekdays",,,route_0032_2,
trip_0129,route_0033,service_0002,Eastern Police,"Morning peak trip",,,shape_0033,
trip_0130,route_0033,service_0002,Eastern Police,"Off peak trip",,,shape_0033,
trip_0131,route_0033,service_0002,Eastern Police,"Evening peak trip",,,shape_0033,
trip_0132,route_0033,service_0001,Eastern Police,"Weekend trip",,,shape_0033,
trip_0133,route_0034,service_0002,Lumley,"Morning peak trip",,,shape_0034,
trip_0134,route_0034,service_0002,Lumley,"Off peak trip",,,shape_0034,
trip_0135,route_0034,service_0002,Lumley,"Evening peak trip",,,shape_0034,
trip_0136,route_0034,service_0001,Lumley,"Weekend trip",,,shape_0034,
trip_0137,route_0016,service_0001,Calaba Town,"Weekend trip",,,shape_0016,
trip_0138,route_0035,service_0002,SLPMB,"Off peak trip",,,shape_0035,
trip_0139,route_0035,service_0002,SLPMB,"Evening peak trip",,,shape_0035,
trip_0140,route_0035,service_0001,SLPMB,"Weekend trip",,,shape_0035,
trip_0141,route_0036,service_0002,Model Junction,"Morning peak trip",,,shape_0036,
trip_0142,route_0036,service_0002,Model Junction,"Off peak trip",,,shape_0036,
trip_0143,route_0036,service_0002,Model Junction,"Evening peak trip",,,shape_0036,
trip_0144,route_0036,service_0001,Model Junction,"Weekend trip",,,shape_0036,
trip_0145,route_0037,service_0002,Barracks Old Road,"Off peak trip",,,shape_0037,
trip_0146,route_0037,service_0002,Barracks Old Road,"Morning peak trip",,,shape_0037,
trip_0147,route_0037,service_0002,Barracks Old Road,"Evening peak trip",,,shape_0037,
trip_0148,route_0093,service_0001,Malta Street (Lower).,"Weekend trip",,,shape_0093,
trip_0149,route_0038,service_0002,Calaba Town,"Morning peak trip",,,shape_0038,
