trip_id,service_id,route_id,shape_id,direction_id,trip_headsign
137,Mo-Su,10240809,10240807,1,Gendarmerie Abobo
138,Mo-Su,10241119,10241118,0,Gare Nord
139,Mo-Su,10241119,10241117,1,Abobo Akeikoi Village
140,Mo-Su,10241191,10241220,0,Yopougon Abobo Doumé
141,Mo-Su,10241191,10241190,1,Gare Nord
142,Mo-Su,10241381,10241380,0,Cité Administrative
143,Mo-Su,10241381,10241379,1,PK 18 (Abobo)
144,Mo-Su,10241430,10241587,0,Cocody Gobelet
145,Mo-Su,10241430,10241429,1,Gare Nord
146,Mo-Su,10241609,10241608,0,Lycée municipal de Koumassi
147,Mo-Su,10241609,10241607,1,cpma Vridi
148,Mo-Su,10241995,10242016,0,Marché de Treichville
149,Mo-Su,10241995,10241994,1,Gonzagueville
150,Mo-Su,10241995,10246091,0,Marché de Treichville
151,Mo-Su,10241995,10246092,1,Anani
152,Mo-Su,10246195,10257356,0,Terminus Cité Vridi
153,Mo-Su,10246195,10246194,1,Gare Campus
154,Mo-Su,10246195,10246443,0,Gonzagueville
155,Mo-Su,10246195,10246442,1,Gare Campus
156,Mo-Su,10246667,10246666,0,PK 18 (Abobo)
157,Mo-Su,10246667,10291017,1,Hotel de Ville
158,Mo-Su,10246746,10246745,0,Gare Sud
159,Mo-Su,10246746,10290940,1,Gare Abobo Sogefiha
160,Mo-Su,10246874,10246873,0,Campus Cocody
161,Mo-Su,10246874,10300807,1,Abobo Sagbé
162,Mo-Su,10247373,10247372,0,Ebimpé
163,Mo-Su,10247373,10267754,1,Ebimpé
164,Mo-Su,10247522,10247521,0,Gare Koumassi
165,Mo-Su,10247522,10247520,1,Anani
166,Mo-Su,10247975,10362403,0,Gare Sud
167,Mo-Su,10247975,10247974,1,Djibi
168,Mo-Su,10248235,10248234,0,Marcory Anoumabo Aliodan
169,Mo-Su,10248235,10248233,1,Gare Nord
170,Mo-Su,10256167,10256166,0,Cité Administrative
171,Mo-Su,10256167,10256269,1,Abobo Sagbé
172,Mo-Su,10256311,10256124,0,Plateau Cité Administrative
173,Mo-Su,10256311,10256310,1,Yopougon Sideci
174,Mo-Su,10257679,10257967,0,Port-Bouët Vridi Canal
175,Mo-Su,10257679,10257678,1,Gare Koumassi
176,Mo-Su,10260743,10260742,0,Gare Nord
177,Mo-Su,10260743,10260867,1,M'badon
178,Mo-Su,10261222,10261221,0,Bingerville
179,Mo-Su,10261222,10261220,1,La Vie
180,Mo-Su,10261637,10261866,0,CHU Treichville
181,Mo-Su,10261637,10261636,1,Dépôt Cocody
182,Mo-Su,10265827,10265825,0,Plateau Gare Sud
183,Mo-Su,10265827,10265826,1,Centre Pilote Port-Bouët
184,Mo-Su,10265924,10265923,0,M'pouto
185,Mo-Su,10265924,10265922,1,Adjamé Liberté
186,Mo-Su,10266646,10266645,0,Gare Koumassi
187,Mo-Su,10266646,10266644,1,Gare Nord
188,Mo-Su,10266864,10266863,0,Commissariat Port
189,Mo-Su,10266864,10266862,1,Marcory Alliodan
190,Mo-Su,10267036,10267035,0,Commissariat Port
191,Mo-Su,10267036,10267034,1,Akromiambla
192,Mo-Su,10270241,10270240,0,Gare Sud Plateau
193,Mo-Su,10270241,10270239,1,Koumassi Akromiambla
194,Mo-Su,10270789,10266156,0,Gare Nord
195,Mo-Su,10270789,10266010,1,Gare Koumassi
196,Mo-Su,10270789,10189025,0,Adjamé Liberté
197,Mo-Su,10270789,10188868,1,Gare Koumassi
198,Mo-Su,10270789,10270788,0,Hôpital de koumassi
199,Mo-Su,10270789,10270787,1,Adjamé Liberté
200,Mo-Su,10270989,10398565,0,Yopougon Gesco
201,Mo-Su,10270989,10270988,1,Cité Administrative
202,Mo-Su,10271088,10271087,0,Koumassi Soweto
203,Mo-Su,10271088,10271086,1,Gare Nord
204,Mo-Su,10271257,10271255,0,Gare Sud
205,Mo-Su,10271257,10271256,1,Cocody SCI Les Rosiers
206,Mo-Su,10279858,10279857,0,Yopougon Micao
207,Mo-Su,10279858,10279856,1,Yopougon Koweït
208,Mo-Su,10280602,10280600,0,Yopougon Attié - Amondji
209,Mo-Su,10280602,10280601,1,Gare Sud
210,Mo-Su,10281561,10281560,0,Sococe Deux plateaux
211,Mo-Su,10281561,10281559,1,Grand carrefour Koumassi
212,Mo-Su,10282981,10282979,0,Grand carrefour Koumassi
213,Mo-Su,10282981,10282980,1,Carrefour Palmeraie (Riviera III)
214,Mo-Su,10283602,10283601,0,Hôtel de ville
215,Mo-Su,10283602,10283600,1,Anani
216,Mo-Su,10283796,10283795,0,Gonzagueville
217,Mo-Su,10283796,10283794,1,Adjamé Liberté
218,Mo-Su,10285983,10285981,0,Yopougon Koweït
219,Mo-Su,10285983,10285982,1,Rond-point Palmeraie
220,Mo-Su,10286236,10286234,0,Niangon Sud à droite
221,Mo-Su,10286236,10286235,1,Gare Sud
222,Mo-Su,10286387,10286386,0,CHU Treichville
