stop_id,stop_name,stop_lat,stop_lon
TX470T1S9,ASEPE,9.06798520859851,38.7348892918867
TX123T2S4,10 KILO,9.09278930935096,38.7186473189559
TX277S18,ABIYOT,9.01076287249874,38.7593000553703
TX470T2S8,3RD POLICE STATION,9.04121243337847,38.7503905643697
TX126T1S7,ALEM CINEMA,8.99083408159595,38.7844923958843
TX466T1S3,ATIKILT TERA,9.03467800593915,38.7467440475132
TX128T2S2,ABO SQUARE,8.98218883961391,38.7344554120174
TX281T1S4,ZENEBEWERK ALERT HOSPITAL,8.98711776051406,38.7083426860815
TX210T2S5,5 KILLO,9.0396912575898,38.762226673432
TX138T1S10,YESHI TOTAL,8.86655819844244,38.7989141300968
TX138T1S9,06 KEBELE,8.87136357056917,38.7965352729044
TX138T1S7,09 KEBELE,8.87962075316304,38.7795277193034
