trip_id,arrival_time,departure_time,stop_id,stop_sequence
108,09:00:00,09:00:00,TX336T1S6,13
108,09:15:00,09:15:00,TX188T1S6,14
108,09:30:00,09:30:00,TX277T1S9,15
108,09:45:00,09:45:00,TX239T1S9,16
108,10:00:00,10:00:00,TX239T2S9,17
108,10:15:00,10:15:00,TX449T2S9,18

109,06:00:00,06:00:00,TX458T2S14,1
109,06:15:00,06:15:00,TX458T1S4,2

110,06:00:00,06:00:00,TX128T2S2,1
110,06:15:00,06:15:00,TX453T2S2,2
110,06:30:00,06:30:00,TX453T2S4,3
110,06:45:00,06:45:00,TX128T1S4,4
110,07:00:00,07:00:00,TX453T2S5,5

304,06:00:00,06:00:00,TX141T1S10,1
304,06:15:00,06:15:00,TX204T1S2,2
304,06:30:00,06:30:00,TX203T2S2,3
304,06:45:00,06:45:00,TX201T1S3,4
304,07:00:00,07:00:00,TX198T2S9,5

305,06:00:00,06:00:00,TX277S18,1
305,06:15:00,06:15:00,TX276T1S10,2
305,06:30:00,06:30:00,TX154T1S10,3
305,06:45:00,06:45:00,TX205T2S12,4
305,07:00:00,07:00:00,TX239T2S15,5
305,07:15:00,07:15:00,TX299T2S3,6
305,07:30:00,07:30:00,TX336T1S4,7
305,07:45:00,07:45:00,TX336T1S6,8
305,08:00:00,08:00:00,TX188T1S6,9
305,08:15:00,08:15:00,TX145T2S7,10
305,08:30:00,08:30:00,TX140T2S8,11
305,08:45:00,08:45:00,TX449T2S9,12

111,06:00:00,06:00:00,TX459T2S1,1
111,06:15:00,06:15:00,TX302T2S1,2
111,06:30:00,06:30:00,TX281T2S10,3
111,06:45:00,06:45:00,TX458T2S14,4
111,07:00:00,07:00:00,TX458T1S2,5
111,07:15:00,07:15:00,TX304T1S3,6
111,07:30:00,07:30:00,TX157T2S5,7
111,07:45:00,07:45:00,TX302T2S5,8
111,08:00:00,08:00:00,TX302T1S6,9
111,08:15:00,08:15:00,TX157T2S6,10
111,08:30:00,08:30:00,TX244T2S9,11


116,06:00:00,06:00:00,TX472T1S10,1
116,06:15:00,06:15:00,TX283T1S3,2
116,06:30:00,06:30:00,TX168T1S3,3
116,06:45:00,06:45:00,TX168T1S4,4
116,07:00:00,07:00:00,TX472T1S4,5
116,07:15:00,07:15:00,TX168T1S5,6
116,07:30:00,07:30:00,TX472T1S5,7
116,07:45:00,07:45:00,TX467T2S6,8
116,08:00:00,08:00:00,TX294T1S6,9
116,08:15:00,08:15:00,TX168T1S7,10
116,08:30:00,08:30:00,TX472T1S7,11
116,08:45:00,08:45:00,TX455T2S7,12
116,09:00:00,09:00:00,TX283T1S9,13


118,06:00:00,06:00:00,TX424T2S6,1
118,06:15:00,06:15:00,TX467T2S6,2
118,06:30:00,06:30:00,TX424T2S7,3
118,06:45:00,06:45:00,TX424T2S8,4

122,06:00:00,06:00:00,TX343T1S4,1
122,06:15:00,06:15:00,TX314T1S5,2
