route_id,agency_id,route_short_name,route_long_name,route_type
141,3,TX065,መገናኛ  - በፊጋ በሻሌ - ቅ/ጊ/ስፖ/ክለብ,3
129,3,TX046,መርካቶ አመዴ - በአራት መንታ - ጠሮ መስጊድ,3
130,3,TX047,መርካቶ አመዴ - በመሳለሚያ - መድሀ/ት/ቤት,3
132,3,TX050,መርካቶ አመዴ - መዝናኛ - አሸዋ ሜዳ,3
146,3,TX089,ምዕራብ - ኮካ አደባባይ - ጦር ሀይሎች,3
133,3,TX051,መርካቶ አመዴ - በአዲሱ ሚካኤል - አስኮ ተርሚናል (ወ.14),3
135,3,TX053,መርካቶ አመዴ - በመ/ት/ቤት - አንበሳ ጋራዥ/ሸጎሌ/,3
160,3,TX111,ሰባተኛ - በመሳለሚያ - ተሻግሮ ኮልፌ ድልድይ,3
161,3,TX112,ሰባተኛ - በጉጂ - መናገሻ ተርሚናል,3
136,3,TX055,መርካቶ አመዴ - በጫረታ - አስኮ መናኻሪያ ጫፍ,3
138,3,TX061,መካኒሳ  - ሳር ቤት  - ሲኒማ ራስ,3
139,3,TX063,መገናኛ  - አያት አደባባይ - አያት 49 ማዞሪያ,3
140,3,TX064,መገናኛ  - የተባበሩት - ሰሚት ኮ/ሚኒየም,3
142,3,TX066,መገናኛ ተርሚናል  - አድዋ ድልድይ - አዉቶ/ተራ,3
162,3,TX113,ሰባተኛ - በመሳለሚያ - ድልድይ ተሻግሮ,3
143,3,TX067,መገናኛ ተርሚናል  -  - አዋሬ ፖሊስ ጣቢያ,3
144,3,TX083,ሜክሲኮ - ቄራ  - ላፍቶ ,3
145,3,TX086,ሜክሲኮ ኬኬር - ንፋስልክ ት/ቤት - ሳሪስ ሸዋ ዳቦ,3
147,3,TX090,ምዕራብ ሆቴል - ዶኒ ግሮሰሪ፣ - ሰለፊያ,3
148,3,TX091,ምዕራብ ሆቴል -  - ጦር ሃይሎች,3
163,3,TX114,ሰባተኛ - በእፎይታ - አጠና ተራ,3
149,3,TX092,ምዕራብ ሆቴል -  - አየር ጤና,3
164,3,TX117,ሰባተኛ - በኮልፌ ድልድይ - ደጉ ሆቴል,3
150,3,TX094,ምዕራብ ሆቴል - በጦር ኃይሎች - ሴራሊዮን ኢንባሲ,3
168,3,TX124,ሲኒማ ራስ - በተ/ሃይማኖት - ኮሜርስ ንግድ ባንክ,3
151,3,TX096,ምዕራብ ሆቴል - በአየር ጤና - ወለቴ,3
152,3,TX097,ምዕራብ ሆቴል -  - ቤተል,3
153,3,TX098,ምዕራብ ሆቴል - በጦር ኃይሎች - ካራ ቆሬ,3
154,3,TX099,ምዕራብ ሆቴል - በሰባተኛ - አማኑኤል ቶታል,3
155,3,TX100,ምዕራብ ሆቴል - በጭድ ተረ - መካኒሳ,3
156,3,TX101,ምዕራብ ሆቴል - በአብነት - ህንፃ ኮሌጅ,3
157,3,TX106,ምዕራብ ሆቴል - ሜክሲኮ - መካኒሳ,3
158,3,TX107,ምዕራብ ሆቴል - ቆሬ አደባባይ - ጀሞ መንደር,3
213,3,TX201,ቄራ  - ዳርማር - አውቶቢስ ተራ,3
159,3,TX110,ሰለፊያ -  - ,3
165,3,TX120,ሰፈራ - መካኒሳ አቦ - ሜክሲኮ,3
166,3,TX121,ሰፈራ በኃይሌ - ኃይሌ ጋርመንት - ሃና ማርያም,3
167,3,TX123,ሱሉልታ - አሸዋሜዳ - አዲሱ ገበያ,3
169,3,TX125,ሲኒማ ራስ - በለገሀር - ደንበል,3
170,3,TX126,ሲኒማ ራስ - በወሎ ሰፈር - አለም ሲኒማ,3
171,3,TX127,ሲኒማ ራስ - በቦሌ ሚኒ - ቦሌ ድልድይ,3
176,3,TX135,ሳረስ አቦ  - በጎተራ -  እስቴዲየም,3
172,3,TX128,ሲኒማ ራስ - በጎማ ቁጠባ - መካኒሳ,3
177,3,TX136,ሳረስ አቦ  - በጎተራ - ቄራ ጫፍ,3
173,3,TX129,ሲኒማ ራስ - በዘዉዲቱ ሆስፒታል - መገናኛ ተርሚናል ,3
178,3,TX137,ሳሪስ ሸዋ ዳቦ - ጥቁር አንበሳ ሆስፒታል - ጎጃም በረንዳ,3
174,3,TX130,ሲኒማ ራስ - ሳር ቤት - መካኒሳ,3
181,3,TX140,ሳሪስ ሸዋ ዳቦ - ቃሊቲ ቶታል - ቀበሌ 09,3
175,3,TX131,ሲኒማ ራስ - ትንባሆ ሞኖፖል - ጀሞ መንደር,3
185,3,TX144,ሳሪስ ሸዋ ዳቦ - ቃሊቲ ገብርኤል - ቃሊቲ ቶታል,3
179,3,TX138,ሳሪስ ሸዋ ዳቦ - ቃሊቲ ቶታል - የሺ ቶታል,3
