shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
shape_0180,-17.8319358825684,31.0443572998047,32,5229676.5
shape_0180,-17.8319396972656,31.0442695617676,33,5229685.5
shape_0180,-17.8320274353027,31.0441608428955,34,5229701
shape_0180,-17.8321189880371,31.0441551208496,35,5229711
shape_0250,-17.8300285339355,31.0561065673828,0,7194112.5
shape_0250,-17.8297004699707,31.0560302734375,1,7194150
shape_0250,-17.829683303833,31.0561199188232,2,7194159.5
shape_0250,-17.8295917510986,31.0562362670898,3,7194175.5
shape_0250,-17.8294906616211,31.0562496185303,4,7194186.5
shape_0250,-17.8294048309326,31.0562381744385,5,7194196
shape_0250,-17.8292636871338,31.0561332702637,6,7194215.5
shape_0250,-17.8292293548584,31.0559101104736,7,7194239.5
shape_0250,-17.8294868469238,31.0551853179932,8,7194321.5
shape_0250,-17.8295669555664,31.0548934936523,9,7194353.5
shape_0250,-17.8296089172363,31.0547180175781,10,7194372.5
shape_0250,-17.829797744751,31.0538215637207,11,7194470
shape_0250,-17.8299503326416,31.0530948638916,12,7194548.5
shape_0250,-17.8299827575684,31.0529479980469,13,7194564.5
shape_0250,-17.8303451538086,31.0514469146729,14,7194728.5
shape_0250,-17.8307266235352,31.0498676300049,15,7194901
shape_0250,-17.8310661315918,31.0484466552734,16,7195056
shape_0250,-17.8312320709229,31.0477981567383,17,7195127
shape_0250,-17.8314170837402,31.0468864440918,18,7195226
shape_0250,-17.8314228057861,31.0466804504395,19,7195247.5
shape_0250,-17.8314151763916,31.0461196899414,20,7195307
shape_0250,-17.8314056396484,31.0458889007568,21,7195331.5
shape_0250,-17.8313789367676,31.0452308654785,22,7195401
shape_0250,-17.8313446044922,31.0446281433105,23,7195465
shape_0250,-17.8313312530518,31.0443725585938,24,7195492
shape_0250,-17.8312892913818,31.0434532165527,25,7195589.5
shape_0250,-17.83127784729,31.0430564880371,26,7195631.5
shape_0250,-17.8312644958496,31.0426216125488,27,7195678
shape_0250,-17.8312454223633,31.042200088501,28,7195722.5
shape_0250,-17.8312206268311,31.0417671203613,29,7195768.5
shape_0250,-17.83225440979,31.0417232513428,30,7195883.5
shape_0250,-17.8332939147949,31.0416564941406,31,7195999
shape_0250,-17.8344650268555,31.0415954589844,32,7196129.5
shape_0250,-17.8355445861816,31.0415344238281,33,7196250
shape_0250,-17.8362941741943,31.0415306091309,35,7196333
shape_0250,-17.8363094329834,31.0418033599854,36,7196362
shape_0250,-17.8363132476807,31.0419864654541,37,7196381.5
shape_0250,-17.8363189697266,31.0423984527588,38,7196425
shape_0250,-17.8365936279297,31.0423831939697,39,7196455.5
shape_0250,-17.8367156982422,31.0423812866211,40,7196469
shape_0250,-17.8368072509766,31.0423774719238,41,7196479.5
shape_0250,-17.8370399475098,31.0423679351807,42,7196505
shape_0346,-17.8321876525879,31.0441627502441,0,0
shape_0346,-17.8321800231934,31.0443420410156,1,19
shape_0346,-17.8323554992676,31.0443363189697,3,39
shape_0346,-17.8333587646484,31.0442752838135,4,150
shape_0346,-17.8338432312012,31.0442657470703,5,204
shape_0346,-17.8337326049805,31.0447025299072,6,252
shape_0346,-17.8336181640625,31.0451488494873,7,301
shape_0346,-17.8335151672363,31.0456085205078,9,351
shape_0346,-17.8334178924561,31.0460433959961,10,398
shape_0346,-17.8332977294922,31.0465621948242,11,455
shape_0346,-17.833251953125,31.0467414855957,12,474
shape_0346,-17.8331680297852,31.0470409393311,13,507
shape_0346,-17.8328914642334,31.048210144043,14,635
shape_0346,-17.8327350616455,31.0488815307617,15,708
shape_0346,-17.8323974609375,31.0502967834473,16,863
shape_0346,-17.8323154449463,31.0506534576416,17,901
shape_0346,-17.8321266174316,31.051441192627,18,987
shape_0346,-17.8320198059082,31.0518932342529,19,1037
shape_0346,-17.8318424224854,31.0526447296143,20,1119
shape_0346,-17.8316783905029,31.0533847808838,21,1199
shape_0346,-17.8316345214844,31.0535621643066,22,1218
shape_0346,-17.831262588501,31.0551357269287,23,1390
shape_0346,-17.8312168121338,31.0553131103516,24,1410
shape_0346,-17.8311519622803,31.0555667877197,25,1437
shape_0346,-17.830846786499,31.0567646026611,26,1569
shape_0346,-17.8305892944336,31.0566635131836,27,1599
shape_0346,-17.8305511474609,31.0565586090088,28,1611
shape_0346,-17.8305263519287,31.0564975738525,29,1618
shape_0346,-17.8305969238281,31.056245803833,30,1646
shape_0433,-17.8366718292236,31.0423812866211,0,12459718
shape_0433,-17.8363189697266,31.0423984527588,1,12459757
shape_0433,-17.836332321167,31.0428657531738,2,12459807
shape_0433,-17.8363437652588,31.0432872772217,3,12459852
shape_0433,-17.8363628387451,31.0437164306641,4,12459897
shape_0433,-17.8363800048828,31.0441551208496,5,12459943
shape_0433,-17.8363990783691,31.0445957183838,6,12459990
shape_0433,-17.8364181518555,31.0450458526611,7,12460038
shape_0433,-17.8364200592041,31.0452785491943,8,12460062
shape_0433,-17.8364086151123,31.0454883575439,9,12460085
shape_0433,-17.836404800415,31.0455226898193,10,12460088
shape_0433,-17.8363285064697,31.0457305908203,11,12460112
shape_0433,-17.8361701965332,31.0462265014648,12,12460167
shape_0433,-17.8361530303955,31.0462818145752,13,12460173
shape_0433,-17.8360366821289,31.0463829040527,14,12460190
shape_0433,-17.8359088897705,31.0464267730713,15,12460205
shape_0433,-17.8355522155762,31.0465106964111,16,12460246
shape_0433,-17.8351974487305,31.0464935302734,17,12460285
shape_0433,-17.8332977294922,31.0465621948242,18,12460497
shape_0433,-17.833251953125,31.0467414855957,19,12460516
shape_0433,-17.8331680297852,31.0470409393311,20,12460549
shape_0433,-17.8328914642334,31.048210144043,21,12460677
shape_0433,-17.8327350616455,31.0488815307617,22,12460750
shape_0433,-17.8323974609375,31.0502967834473,23,12460905
shape_0433,-17.8323154449463,31.0506534576416,24,12460943
shape_0433,-17.8321266174316,31.051441192627,25,12461029
shape_0433,-17.8320198059082,31.0518932342529,26,12461079
shape_0433,-17.8318424224854,31.0526447296143,27,12461161
shape_0433,-17.8316783905029,31.0533847808838,28,12461241
shape_0433,-17.8316345214844,31.0535621643066,29,12461260
shape_0433,-17.8312397003174,31.0552215576172,30,12461441
shape_0433,-17.8309459686279,31.0563983917236,31,12461570
shape_0433,-17.830846786499,31.0567646026611,32,12461611
shape_0433,-17.830587387085,31.056661605835,33,12461641
shape_0433,-17.8305282592773,31.0564994812012,34,12461660
shape_0433,-17.830171585083,31.0564136505127,35,12461700
shape_0483,-17.8336448669434,31.0451469421387,0,0
shape_0483,-17.8336181640625,31.0451488494873,1,3
shape_0483,-17.8333358764648,31.0451602935791,2,34
shape_0483,-17.832389831543,31.0451908111572,3,140
shape_0483,-17.83229637146,31.0451984405518,4,150
